2023/11|09|3D0109|-1,095,517,711.5|1|
2023/12|09|3D0109|-874,890,761.77|1|
2023/10|09|3D0109|-205,321,634.42|1|
2023/10|09|3D0108|-192,869,543.47|1|
2023/11|09|3D0103|-16,925,664.6|1|
2023/11|09|3D0105|-10,338,795.96|1|
2023/10|09|3D0325|-6,099,598.86|1|
2023/10|09|3D0105|-2,382,094.21|1|
2023/10|09|3D0103|-1,880,629.4|1|
2023/09|09|3D0109|-1,546,290.92|1|
2023/12|09|3D0311|23,346.02|1|
2023/12|09|3D0330|69,072.14|1|
2023/11|09|3D0330|138,144.28|1|
2023/12|09|3D0206|1,305,092.52|1|
2023/08|09|3D0101|2,785,700.89|1|
2023/04|09|3D0101|2,785,700.89|1|
2023/05|09|3D0101|2,785,700.89|1|
2023/10|09|3D0207|4,074,521.72|1|
2023/12|09|3D0105|4,376,365.58|1|
2023/12|09|3D0207|8,142,418.44|1|
2023/06|09|3D0101|8,357,102.67|1|
2023/11|09|3D0207|10,427,445.22|1|
2023/10|09|3D0104|11,270,879.29|1|
2023/12|09|3D0104|15,125,857.07|1|
2023/07|09|3D0101|22,285,607.12|1|
2023/10|09|3D0206|27,913,381.85|1|
2023/11|09|3D0104|67,463,886.26|1|
2023/09|09|3D0101|75,213,924.03|1|
2023/12|09|3D0108|953,300,814.83|1|
2023/11|09|3D0108|1,038,241,294.01|1|
2023/10|09|3D0101|2,712,942,467.35|1|
2023/12|09|3D0101|4,145,052,027.79|1|
2023/11|09|3D0101|6,354,203,092.75|1|
