1 Periodo,2 CUO,3 Numero correlativo del asiento,4 Codigo de la cuenta contable,5 Codigo de Unidad de Operación,6 Centro de Costo,7 Tipo de Moneda de Origen,8 Tipo de documento de identidad del emisor,9 Numero de documento de identidad del emisor,10 Tipo de Comprobante,11 Numero de Serie del comprobante de Pago,12 Numero de compronbante de pago,13 Fecha Contable,14 Fecha de Vencimiento,15 Fecha de la operación o emision,16 Glosa o descripcion de la naturaleza de la operacion registrada de ser el caso,17 Glosa referencial  de ser el caso,18 Movimientos del Debe,19 Movimiento del Haber,20 Dato Estructurado,21 Indica el estado de la operacion,
20231200,16718,M167180,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,11/12/2023,Currency Revaluation,Currency Revaluation,0.00,193.28,,1,
20231200,16719,M167190,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,11/12/2023,Currency Revaluation,Currency Revaluation,0.00,131.43,,1,
20231200,16720,M167200,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,11/12/2023,Currency Revaluation,Currency Revaluation,0.00,56.47,,1,
20231200,16821,M168210,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,18/12/2023,Currency Revaluation,Currency Revaluation,0.00,3259.52,,1,
20231200,16822,M168220,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,18/12/2023,Currency Revaluation,Currency Revaluation,0.00,1615.13,,1,
20231200,19883,M198830,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,13/12/2023,Currency Revaluation,Currency Revaluation,0.00,1252.31,,1,
20231200,19885,M198850,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,13/12/2023,Currency Revaluation,Currency Revaluation,0.00,14.22,,1,
20231200,19987,M199870,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,18/12/2023,Currency Revaluation,Currency Revaluation,0.00,172.83,,1,
20231200,22647,M226470,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,14/12/2023,Currency Revaluation,Currency Revaluation,0.00,163.75,,1,
20231200,22649,M226490,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,14/12/2023,Currency Revaluation,Currency Revaluation,0.00,740.03,,1,
20231200,26371,M263710,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,04/12/2023,Currency Revaluation,Currency Revaluation,0.00,163.21,,1,
20231200,26372,M263720,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,04/12/2023,Currency Revaluation,Currency Revaluation,0.00,281.04,,1,
20231200,26373,M263730,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,04/12/2023,Currency Revaluation,Currency Revaluation,0.00,204.24,,1,
20231200,26375,M263750,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,04/12/2023,Currency Revaluation,Currency Revaluation,0.00,63.01,,1,
20231200,26476,M264760,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,16/12/2023,Currency Revaluation,Currency Revaluation,0.00,47.08,,1,
20231200,35627,M356270,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,01/12/2023,Currency Revaluation,Currency Revaluation,0.00,226.09,,1,
20231200,35629,M356290,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,01/12/2023,Currency Revaluation,Currency Revaluation,0.00,185.32,,1,
20231200,35630,M356300,9999999999,3,1301,PEN,,,00,0,0,01/12/2023,,01/12/2023,Currency Revaluation,Currency Revaluation,0.00,201.72,,1,
20231200,16398,M163980,1041101,3,1301,PEN,6,20371672151,00,0,0,01/12/2023,,11/12/2023,000000201,Bill Payment,0.00,1395.92,,1,
20231200,16399,M163990,1041101,3,1301,PEN,6,20271691476,00,0,0,01/12/2023,,11/12/2023,000000202,Bill Payment,0.00,29491.00,,1,
20231200,16400,M164000,1041101,3,1301,PEN,6,20371672151,00,0,0,01/12/2023,,18/12/2023,000000211,Bill Payment,0.00,68534.00,,1,
20231200,16401,M164010,1041101,3,1301,PEN,6,20371672151,00,0,0,01/12/2023,,18/12/2023,000000212,Bill Payment,0.00,4150.22,,1,
20231200,18924,M189240,1041101,3,1301,PEN,6,20306532201,00,0,0,01/12/2023,,04/12/2023,000000301,Bill Payment,0.00,870.00,,1,
20231200,18925,M189250,1041101,3,1301,PEN,6,20602079075,00,0,0,01/12/2023,,04/12/2023,000000302,Bill Payment,0.00,804.50,,1,
20231200,18926,M189260,1041101,3,1301,PEN,6,20508671378,00,0,0,01/12/2023,,04/12/2023,000000303,Bill Payment,0.00,6230.00,,1,
20231200,18927,M189270,1041101,3,1301,PEN,6,20610448586,00,0,0,01/12/2023,,04/12/2023,000000304,Bill Payment,0.00,13282.14,,1,
20231200,18928,M189280,1041101,3,1301,PEN,6,20127614572,00,0,0,01/12/2023,,04/12/2023,000000305,Bill Payment,0.00,2620.14,,1,
20231200,18929,M189290,1041101,3,1301,PEN,6,20390724919,00,0,0,01/12/2023,,04/12/2023,000000306,Bill Payment,0.00,1005.04,,1,
20231200,18930,M189300,1041101,3,1301,PEN,6,10076040627,00,0,0,01/12/2023,,04/12/2023,000000307,Bill Payment,0.00,1910.20,,1,
20231200,18931,M189310,1041101,3,1301,PEN,6,20602079075,00,0,0,01/12/2023,,04/12/2023,000000308,Bill Payment,0.00,354.00,,1,
20231200,19027,M190270,1041101,3,1301,PEN,6,20555762977,00,0,0,01/12/2023,,07/12/2023,000000311,Bill Payment,0.00,49843.00,,1,
20231200,19028,M190280,1041101,3,1301,PEN,6,20371672151,00,0,0,01/12/2023,,07/12/2023,000000312,Bill Payment,0.00,9470.60,,1,
20231200,19029,M190290,1041101,3,1301,PEN,6,20260510887,00,0,0,01/12/2023,,07/12/2023,000000313,Bill Payment,0.00,792.00,,1,
20231200,19030,M190300,1041101,3,1301,PEN,6,20295734681,00,0,0,01/12/2023,,07/12/2023,000000314,Bill Payment,0.00,795.28,,1,
20231200,19128,M191280,1041101,3,1301,PEN,6,20557103920,00,0,0,01/12/2023,,11/12/2023,000000321,Bill Payment,0.00,16286.71,,1,
20231200,19129,M191290,1041101,3,1301,PEN,6,20101155588,00,0,0,01/12/2023,,11/12/2023,000000322,Bill Payment,0.00,14154.83,,1,
20231200,19230,M192300,1041101,3,1301,PEN,6,20602079075,00,0,0,01/12/2023,,14/12/2023,000000331,Bill Payment,0.00,1474.60,,1,
20231200,19231,M192310,1041101,3,1301,PEN,6,20299704913,00,0,0,01/12/2023,,14/12/2023,000000332,Bill Payment,0.00,6023.00,,1,
20231200,19330,M193300,1041101,3,1301,PEN,6,20123387326,00,0,0,01/12/2023,,18/12/2023,000000341,Bill Payment,0.00,2888.64,,1,
20231200,19331,M193310,1041101,3,1301,PEN,6,20538843939,00,0,0,01/12/2023,,18/12/2023,000000342,Bill Payment,0.00,12732.20,,1,
20231200,19432,M194320,1041101,3,1301,PEN,6,10447569952,00,0,0,01/12/2023,,11/12/2023,000000352,Bill Payment,0.00,790.00,,1,
20231200,22146,M221460,1041101,3,1301,PEN,6,20100049181,00,0,0,01/12/2023,,15/12/2023,000000471,Bill Payment,0.00,5279.37,,1,
20231200,22147,M221470,1041101,3,1301,PEN,6,20509959766,00,0,0,01/12/2023,,15/12/2023,000000472,Bill Payment,0.00,5727.69,,1,
20231200,22148,M221480,1041101,3,1301,PEN,6,20601708583,00,0,0,01/12/2023,,15/12/2023,000000473,Bill Payment,0.00,598.26,,1,
20231200,26064,M260640,1041101,3,1301,PEN,6,20117920144,00,0,0,01/12/2023,,06/12/2023,000000551,Bill Payment,0.00,23681.87,,1,
20231200,26065,M260650,1041101,3,1301,PEN,6,20117920144,00,0,0,01/12/2023,,06/12/2023,000000552,Bill Payment,0.00,30786.12,,1,
