20231031|4428|M4428|0|00000000||31/10/2023|230472.50|1|
20231031|4428|M4428|6|20131312955|SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA -|31/10/2023|118.00|1|
20231031|4629|M4629|0|00000000||31/10/2023|2730.07|1|
20231130|6475|M6475|0|00000000||09/11/2023|250.00|1|
20231130|15468|M15468|0|00000000||23/11/2023|50.00|1|
20231130|37375|M37375|0|00000000||28/11/2023|580.00|1|
20231130|37384|M37384|0|00000000||29/11/2023|-50.00|1|
20231130|37409|M37409|0|00000000||30/11/2023|-580.00|1|
20231130|38288|M38288|0|00000000||27/11/2023|-191.00|1|
20231130|38289|M38289|0|00000000||28/11/2023|-98.58|1|
20231130|38720|M38720|0|00000000||06/11/2023|-16.69|1|
20231130|40116|M40116|0|00000000||01/11/2023|1212.73|1|
20231130|40745|M40745|0|00000000||16/11/2023|98.58|1|
20231130|41625|M41625|0|00000000||23/11/2023|75.52|1|
20231130|42397|M42397|0|00000000||30/11/2023|-290.14|1|
20231130|43425|M43425|0|00000000||09/11/2023|-250.00|1|
20231130|49163|M49163|0|00000000||30/11/2023|-105.09|1|
20231231|49164|M49164|0|00000000||01/12/2023|105.09|1|
20231231|56783|M56783|0|00000000||06/12/2023|24.00|1|
20231231|60399|M60399|0|00000000||26/12/2023|42603.60|1|
20231231|60404|M60404|0|00000000||26/12/2023|33169.60|1|
20231231|60405|M60405|0|00000000||26/12/2023|-42603.60|1|
20231231|60406|M60406|0|00000000||26/12/2023|-33169.60|1|
