20231130|1010101|99|-|-|868.10|868.10|1|
20231231|1010101|99|-|-|1169.43|1169.43|1|
20231130|1062104|99|-|-|13628.09|0.00|1|
20231130|1062202|38|-|-|23299.15|135180.68|1|
20231031|1061102|03|200-3254041470|-|43904.67|0.00|1|
20231231|1061202|03|200-3254041879|-|47193.91|0.00|1|
20231231|1061201|02|191-09082262-1-01|-|50031.00|0.00|1|
20231031|1041202|02|191-9826188-1-32|-|57720.84|0.00|1|
20231231|1062202|38|-|-|135180.68|0.00|1|
20231031|1041103|02|191-9763361-0-06|-|225894.57|0.00|1|
20231031|1041102|18|00-000-379522|-|268776.46|0.00|1|
20231130|1062105|03|-|-|352000.00|352000.00|1|
20231231|1041102|18|00-000-379522|-|361208.50|227947.56|1|
20231130|1041102|18|00-000-379522|-|399004.08|453929.08|1|
20231031|1041201|02|191-1016947-1-00|-|416119.79|0.00|1|
20231130|1041202|02|191-9826188-1-32|-|466694.70|343064.25|1|
20231231|1041103|02|191-9763361-0-06|-|563234.60|55041.78|1|
20231231|1041202|02|191-9826188-1-32|-|650229.92|104.12|1|
20231231|1062103|02|-|-|700000.00|0.00|1|
20231130|1061102|03|200-3254041470|-|733167.23|391087.17|1|
20231031|1041101|02|191-0043000-0-43|-|827332.83|0.00|1|
20231031|1061101|02|191-10637979-0-31|-|963864.42|0.00|1|
20231130|1062203|03|-|-|977340.00|977340.00|1|
20231031|1061202|03|200-3254041879|-|1007693.18|0.00|1|
20231130|1061202|03|200-3254041879|-|1215780.05|1009141.62|1|
20231130|1041201|02|191-1016947-1-00|-|1222215.17|1284940.25|1|
20231231|1041201|02|191-1016947-1-00|-|1323345.01|2375005.84|1|
20231031|1062104|99|-|-|1861059.63|0.00|1|
20231130|1061101|02|191-10637979-0-31|-|1922764.45|2519018.50|1|
20231130|1041103|02|191-9763361-0-06|-|2287494.40|2465160.29|1|
20231130|1062201|02|-|-|2443350.00|2443350.00|1|
20231130|1041101|02|191-0043000-0-43|-|2505125.38|3074695.38|1|
20231031|1061201|02|191-09082262-1-01|-|2555767.15|0.00|1|
20231130|1061201|02|191-09082262-1-01|-|2770405.95|2493407.22|1|
20231231|1041101|02|191-0043000-0-43|-|3043516.55|3535342.36|1|
20231130|1062103|02|-|-|3300000.00|3300000.00|1|
20231031|1062202|38|-|-|5231482.84|0.00|1|
20231231|1061102|03|200-3254041470|-|0.00|385000.00|1|
20231231|1061101|02|191-10637979-0-31|-|0.00|367003.50|1|
