2023/11|40884|M40884|- None -|- None -|30/11/2023|- None -|-12,695.77|1|4151101|2023|
2023/11|40885|M40885|- None -|- None -|30/11/2023|- None -|-6,423.43|1|4115101|2023|
2023/11|42396|M42396|- None -|- None -|30/11/2023|- None -|-43,303.99|1|4111101|2023|
2023/11|42397|M42397|- None -|- None -|30/11/2023|- None -|-26,841.88|1|4111101|2023|
2023/11|42397|M42397|- None -|- None -|30/11/2023|- None -|8,103.45|1|4114101|2023|
2023/11|42397|M42397|- None -|- None -|30/11/2023|- None -|12,911.83|1|4115101|2023|
2023/11|42397|M42397|- None -|- None -|30/11/2023|- None -|1,638.89|1|4151101|2023|
2023/11|42397|M42397|- None -|- None -|30/11/2023|- None -|-1,441.99|1|4171103|2023|
2023/11|42397|M42397|- None -|- None -|30/11/2023|- None -|-493.9|1|4171104|2023|
2023/11|42398|M42398|- None -|- None -|30/11/2023|- None -|-69,259.72|1|4115101|2023|
2023/11|43013|M43013|- None -|- None -|30/11/2023|- None -|4,816.96|1|4151101|2023|
2023/11|43560|M43560|- None -|- None -|13/11/2023|- None -|-1.06|1|4111101|2023|
2023/12|56644|M56644|- None -|- None -|04/12/2023|- None -|59,526.49|1|4111101|2023|
2023/12|56645|M56645|- None -|- None -|04/12/2023|- None -|2,442.73|1|4111101|2023|
