2023/11|09|3D0109|-1095517711.5|1|
2023/12|09|3D0109|-874890761.77|1|
2023/10|09|3D0109|-205321634.42|1|
2023/10|09|3D0108|-192869543.47|1|
2023/11|09|3D0103|-16925664.6|1|
2023/11|09|3D0105|-10338795.96|1|
2023/10|09|3D0325|-6099598.86|1|
2023/10|09|3D0105|-2382094.21|1|
2023/10|09|3D0103|-1880629.4|1|
2023/09|09|3D0109|-1546290.92|1|
2023/12|09|3D0311|23346.02|1|
2023/12|09|3D0330|69072.14|1|
2023/11|09|3D0330|138144.28|1|
2023/12|09|3D0206|1305092.52|1|
2023/08|09|3D0101|2726400.26|1|
2023/04|09|3D0101|2726400.26|1|
2023/05|09|3D0101|2726400.26|1|
2023/10|09|3D0207|4074521.72|1|
2023/12|09|3D0105|4376365.58|1|
2023/12|09|3D0207|8142418.44|1|
2023/06|09|3D0101|8179200.78|1|
2023/11|09|3D0207|10427445.22|1|
2023/10|09|3D0104|11270879.29|1|
2023/12|09|3D0104|15125857.07|1|
2023/07|09|3D0101|21811202.08|1|
2023/10|09|3D0206|27913381.85|1|
2023/11|09|3D0104|67463886.26|1|
2023/09|09|3D0101|73612807.02|1|
2023/12|09|3D0108|953300814.83|1|
2023/11|09|3D0108|1038241294.01|1|
2023/10|09|3D0101|2671016921.94|1|
2023/12|09|3D0101|4105364190.4|1|
2023/11|09|3D0101|6248351468.2|1|
