20231031|1821105|0.00|0.00|40657.44|0.00|40657.44|0.00|34849.23|0.00|0.00|0.00|40657.44|0.00|0.00|0.00|0.00|0.00|1|
20231231|7599108|0.00|0.00|0.00|177.34|0.00|177.34|0.00|0.00|0.00|0.00|0.00|0.00|0.00|177.34|0.00|0.00|1|
20231031|1911201|0.00|0.00|0.00|64625.37|0.00|64625.37|0.00|0.00|0.00|0.00|64625.37|0.00|0.00|0.00|0.00|0.00|1|
20231231|4221101|0.00|0.00|3726.31|0.00|3726.31|0.00|174997.77|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231031||0.00|0.00|0.53|0.48|0.53|0.48|12.12|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231130|2524101|0.00|0.00|226.19|226.19|226.19|226.19|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231130|4171101|0.00|0.00|74038.37|74038.37|74038.37|74038.37|57533.55|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231231|1213201|0.00|0.00|1932003.07|1460709.58|1932003.07|1460709.58|3273198545.75|0.00|0.00|0.00|471293.49|0.00|0.00|0.00|0.00|0.00|1|
20230531|1213201|0.00|0.00|0.00|0.01|0.00|0.01|2785700.89|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231031|4031102|0.00|0.00|0.00|10.00|0.00|10.00|0.00|0.00|0.00|0.00|0.00|10.00|0.00|0.00|0.00|0.00|1|
20231031|4241101|0.00|0.00|0.00|1200.00|0.00|1200.00|0.00|0.00|0.00|0.00|0.00|1200.00|0.00|0.00|0.00|0.00|1|
20231130|1699101|0.00|0.00|978.58|1459.72|978.58|1459.72|96818.04|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231130|6221102|0.00|0.00|61511.80|0.00|61511.80|0.00|1277146.26|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231130|6221106|0.00|0.00|1614.51|0.00|1614.51|0.00|21120.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231130|6273101|0.00|0.00|558.28|0.00|558.28|0.00|82539.99|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231031|6343105|0.00|0.00|90548.43|0.00|90548.43|0.00|181096.86|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231031|6343109|0.00|0.00|1662.23|0.00|1662.23|0.00|7682.80|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231231|6393108|0.00|0.00|967.83|0.00|967.83|0.00|23332.74|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231031|6393108|0.00|0.00|9730.71|0.00|9730.71|0.00|23332.74|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231031|6393112|0.00|0.00|42.90|0.00|42.90|0.00|356.79|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231130|6593101|0.00|0.00|49.72|0.49|49.72|0.49|27324.36|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231031|6731101|0.00|0.00|267654.12|0.00|267654.12|0.00|585586.16|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231031|6561105|0.00|0.00|65780.97|0.00|65780.97|0.00|2225060.55|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231130|6593112|0.00|0.00|18763.42|0.00|18763.42|0.00|405049.16|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231031|7599103|0.00|0.00|0.00|26637.77|0.00|26637.77|0.00|0.00|0.00|0.00|0.00|0.00|0.00|26637.77|0.00|0.00|1|
20231130|1221203|0.00|0.00|299433.25|96183.57|299433.25|96183.57|144612143.17|0.00|0.00|0.00|203249.68|0.00|0.00|0.00|0.00|0.00|1|
20231031|6215101|0.00|0.00|793810.96|0.00|793810.96|0.00|35978747.09|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231130|6215101|0.00|0.00|76987.59|0.00|76987.59|0.00|41813138.51|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231231|6221109|0.00|0.00|60.00|0.00|60.00|0.00|3840.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231130|1010101|0.00|0.00|868.10|868.10|868.10|868.10|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231031|6329104|0.00|0.00|1872968.58|48239.34|1872968.58|48239.34|36742198.08|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231130|1062105|0.00|0.00|352000.00|352000.00|352000.00|352000.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231031|4699105|0.00|0.00|0.00|15876.46|0.00|15876.46|0.00|0.00|0.00|0.00|0.00|15876.46|0.00|0.00|0.00|0.00|1|
20231130|6371106|0.00|0.00|13953.20|0.00|13953.20|0.00|1448713.98|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
20231130|6214102|0.00|0.00|3316.83|0.00|3316.83|0.00|483539.51|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1|
